12894 , 4, online, outline
28.44, 3.84340, 0.51340, 8.4889, 0
28.84, 3.85540, 0.50970, 8.5905, 0
29.05, 3.86750, 0.51580, 8.5953, 0
29.26, 3.87950, 0.52470, 8.5815, 0
29.47, 3.89160, 0.53580, 8.5533, 0
29.68, 3.90360, 0.54840, 8.5174, 0
30.12, 3.91570, 0.57120, 8.4447, 0
30.34, 3.92770, 0.58460, 8.4101, 0
30.8, 3.93980, 0.60470, 8.3644, 0
31.51, 3.95180, 0.61520, 8.4064, 0
32, 3.96390, 0.61100, 8.5091, 0
58.51, 3.97590, 0.30500, 13.8931, 0
32.25, 3.97590, 0.60950, 8.5691, 0
60.24, 3.98800, 0.31790, 13.8597, 0
52.51, 3.98800, 0.34130, 12.8715, 0
32.77, 3.98800, 0.61140, 8.6390, 0
61.13, 4.00000, 0.32550, 13.8468, 0
50.57, 4.00000, 0.39810, 12.1149, 0
33.03, 4.00000, 0.61860, 8.6478, 0
62.06, 4.01200, 0.33160, 13.8597, 0
49.35, 4.01200, 0.44260, 11.6385, 0
33.3, 4.01200, 0.62990, 8.6332, 0
48.19, 4.02410, 0.48700, 11.1993, 0
33.57, 4.02410, 0.64540, 8.5954, 0
63.01, 4.03610, 0.33650, 13.9233, 0
47.08, 4.03610, 0.53280, 10.7708, 0
34.13, 4.03610, 0.68150, 8.4780, 0
46.02, 4.04820, 0.92810, 8.4636, 0
34.42, 4.04820, 0.70600, 8.4025, 0
64, 4.06020, 0.33640, 14.0689, 0
34.71, 4.06020, 0.73300, 8.3202, 0
45.01, 4.06020, 0.99850, 8.1491, 0
35.31, 4.07230, 0.78630, 8.1562, 0
44.52, 4.07230, 1.03540, 8.0108, 0
35.62, 4.08430, 0.81790, 8.0726, 0
43.57, 4.08430, 1.09710, 7.7761, 0
36.25, 4.09640, 0.87670, 7.9215, 0
43.12, 4.09640, 1.12870, 7.6752, 0
36.57, 4.10840, 0.91000, 7.8496, 0
42.23, 4.10840, 1.17050, 7.5257, 0
37.24, 4.12050, 0.97130, 7.7215, 0
41.8, 4.12050, 1.18810, 7.4714, 0
37.58, 4.13250, 1.00550, 7.6624, 0
41.37, 4.13250, 1.20000, 7.4321, 0
38.64, 4.14460, 1.09100, 7.5232, 0
27.49, 3.43370, 0.23420, 8.0562, 0
28.06, 3.44580, 0.26780, 7.4976, 0
28.44, 3.45780, 0.28440, 7.2925, 0
29.47, 3.46990, 0.24860, 8.2167, 0
28.84, 3.46990, 0.29610, 7.1911, 0
29.9, 3.48190, 0.27720, 7.7589, 0
29.26, 3.48190, 0.28020, 7.5894, 0
30.34, 3.49400, 0.32160, 7.0944, 0
34.13, 3.50600, 0.32130, 7.7532, 0
30.8, 3.50600, 0.38810, 6.2311, 0
34.71, 3.51810, 0.25970, 8.9774, 0
31.03, 3.51810, 0.43600, 5.7147, 0
35.01, 3.53010, 0.24870, 9.2769, 0
31.27, 3.53010, 0.49820, 5.1364, 0
35.62, 3.54220, 0.24330, 9.5073, 0
33.57, 3.54220, 0.51220, 5.3770, 0
31.51, 3.54220, 0.58330, 4.4929, 0
35.93, 3.55420, 0.24670, 9.5152, 0
36.25, 3.56630, 0.25220, 9.4822, 0
31.75, 3.56630, 0.71370, 3.7839, 0
36.57, 3.57830, 0.25920, 9.4236, 0
36.9, 3.59040, 0.26730, 9.3482, 0
37.24, 3.61450, 0.27810, 9.2613, 0
37.58, 3.62650, 0.28780, 9.1685, 0
37.93, 3.63860, 0.29810, 9.0696, 0
38.28, 3.65060, 0.30900, 8.9674, 0
39.01, 3.66270, 0.32990, 8.7625, 0
46.02, 3.66270, 1.24880, 3.3362, 0
39.38, 3.67470, 0.34210, 8.6588, 0
40.16, 3.68670, 0.36620, 8.4404, 0
40.96, 3.69880, 0.39510, 8.1830, 0
56.11, 3.71080, 0.71610, 6.7542, 0
43.57, 3.71080, 0.56350, 6.6850, 0
44.04, 3.72290, 0.62270, 6.2571, 0
