   8924, 3, online, outlier
      80,     3.99,   0.2086, 0
      75,    3.874,   0.1844, 0
      70,    3.732,   0.1597, 0
      65,     3.75,   0.1497, 0
      60,    3.646,   0.1307, 0
      55,    3.723,   0.1249, 0
      50,    3.741,   0.1146, 0
      48,    3.726,   0.1091, 0
      46,    3.679,    0.102, 0
      44,    3.617,  0.09429, 0
      42,    3.568,  0.08757, 0
      40,    3.461,  0.07851, 0
      38,    3.365,  0.07047, 0
      36,    3.309,  0.06459, 0
      34,    3.258,  0.05913, 0
      32,    3.201,  0.05371, 0
      30,    3.126,  0.04802, 0
      29,      3.1,  0.04566, 0
      28,    3.084,  0.04364, 0
      27,    3.078,  0.04191, 0
      26,    3.065,     0.04, 0
      25,     3.03,  0.03759, 0
      80,     3.99,   0.2086, 0
      75,    3.874,   0.1844, 0
      70,    3.732,   0.1597, 0
      65,     3.75,   0.1497, 0
      60,    3.646,   0.1307, 0
      55,    3.723,   0.1249, 0
      50,    3.741,   0.1146, 0
      48,    3.726,   0.1091, 0
      46,    3.679,    0.102, 0
      44,    3.617,  0.09429, 0
      42,    3.568,  0.08757, 0
      40,    3.461,  0.07851, 0
      38,    3.365,  0.07047, 0
      36,    3.309,  0.06459, 0
      34,    3.258,  0.05913, 0
      32,    3.201,  0.05371, 0
      30,    3.126,  0.04802, 0
      29,      3.1,  0.04566, 0
      28,    3.084,  0.04364, 0
      27,    3.078,  0.04191, 0
      26,    3.065,     0.04, 0
      25,     3.03,  0.03759, 0
      90,    3.723,   0.2487, 0
      85,    3.829,   0.2484, 0
      80,    3.773,   0.2269, 0
      75,    3.678,   0.2022, 0
      70,    3.674,   0.1883, 0
      65,    3.678,   0.1753, 0
      60,    3.683,   0.1622, 0
      55,    3.913,   0.1679, 0
      50,    3.769,   0.1415, 0
      48,    3.697,   0.1307, 0
      46,    3.627,   0.1206, 0
      44,    3.549,   0.1104, 0
      42,    3.496,   0.1023, 0
      40,    3.463,  0.09562, 0
      38,    3.432,  0.08921, 0
      36,    3.386,  0.08224, 0
      34,    3.319,  0.07466, 0
      32,    3.243,  0.06706, 0
      30,    3.181,  0.06048, 0
      29,    3.163,  0.05783, 0
      28,    3.154,  0.05551, 0
      27,     3.15,  0.05339, 0
      26,    3.138,  0.05103, 0
      25,     3.12,   0.0485, 0
      60,    3.822,   0.1381, 0
      55,    3.825,   0.1268, 0
      50,    3.574,   0.1006, 0
      48,    3.577,  0.09675, 0
      46,    3.599,  0.09387, 0
      44,    3.601,  0.08988, 0
      42,    3.563,  0.08401, 0
      40,    3.478,  0.07621, 0
      38,    3.388,   0.0687, 0
      36,     3.31,  0.06213, 0
      34,    3.254,   0.0567, 0
      32,    3.204,  0.05174, 0
      30,    3.142,  0.04666, 0
      29,    3.116,  0.04435, 0
      28,    3.102,  0.04244, 0
      27,    3.098,  0.04082, 0
      26,    3.094,   0.0392, 0
      25,    3.076,  0.03726, 0
      70,    3.804,   0.1733, 0
      65,    3.839,   0.1639, 0
      60,    3.741,   0.1436, 0
      55,    3.634,   0.1243, 0
      50,    3.618,    0.112, 0
      48,    3.621,   0.1077, 0
      46,    3.592,   0.1015, 0
      44,    3.526,  0.09358, 0
      42,    3.439,  0.08499, 0
      40,    3.383,  0.07835, 0
      38,    3.315,  0.07145, 0
      36,     3.22,  0.06385, 0
      34,    3.202,  0.05966, 0
      32,    3.222,  0.05685, 0
      30,    3.127,  0.05019, 0
      29,    3.078,    0.047, 0
