13520, 3, online, outlier
195.399994 , 3.61796 , 0.30386 , 0
184.699997 , 3.61905 , 0.28884 , 0
170.500000 , 3.61972 , 0.27374 , 0
159.600006 , 3.62347 , 0.25907 , 0
151.699997 , 3.62881 , 0.24455 , 0
144.699997 , 3.65552 , 0.23265 , 0
137.699997 , 3.68175 , 0.22027 , 0
130.300003 , 3.68187 , 0.20455 , 0
121.599998 , 3.69936 , 0.19061 , 0
109.099998 , 3.76242 , 0.18074 , 0
97.510002 , 3.81251 , 0.16871 , 0
92.760002 , 3.82855 , 0.16163 , 0
88.339996 , 3.84624 , 0.15454 , 0
84.059998 , 3.85266 , 0.14644 , 0
79.760002 , 3.84932 , 0.13759 , 0
75.089996 , 3.84661 , 0.12881 , 0
69.820000 , 3.85643 , 0.12083 , 0
64.790001 , 3.88020 , 0.11359 , 0
60.549999 , 3.91499 , 0.10674 , 0
56.119999 , 3.94396 , 0.09930 , 0
49.880001 , 3.93720 , 0.08996 , 0
47.419998 , 3.93040 , 0.08607 , 0
45.279999 , 3.92655 , 0.08232 , 0
43.439999 , 3.92932 , 0.07885 , 0
41.549999 , 3.93397 , 0.07544 , 0
39.639999 , 3.93002 , 0.07171 , 0
37.660000 , 3.91606 , 0.06764 , 0
35.619999 , 3.89555 , 0.06341 , 0
33.810001 , 3.87679 , 0.05931 , 0
32.110001 , 3.86647 , 0.05553 , 0
30.240000 , 3.85289 , 0.05169 , 0
29.309999 , 3.84295 , 0.04971 , 0
22.440001 , 3.69782 , 0.04603 , 0
28.309999 , 3.82808 , 0.04763 , 0
27.209999 , 3.80628 , 0.04540 , 0
26.049999 , 3.77346 , 0.04297 , 0
24.900000 , 3.72887 , 0.04035 , 0
24.240000 , 3.69207 , 0.03797 , 0
23.830000 , 3.67560 , 0.03607 , 0
23.379999 , 3.66678 , 0.03433 , 0
22.809999 , 3.65755 , 0.03261 , 0
22.100000 , 3.65248 , 0.03097 , 0
21.049999 , 3.64825 , 0.02935 , 0
19.879999 , 3.63947 , 0.02767 , 0
12.150000 , 3.56500 , 0.01770 , 0
11.620000 , 3.55928 , 0.01617 , 0
304.100006 , 3.58220 , 0.26461 , 0
132.899994 , 3.55669 , 0.24782 , 0
148.100006 , 3.64796 , 0.20581 , 0
136.800003 , 3.71025 , 0.19871 , 0
127.000000 , 3.70449 , 0.18394 , 0
118.900002 , 3.71413 , 0.17068 , 0
110.400002 , 3.77837 , 0.16191 , 0
101.099998 , 3.80180 , 0.14903 , 0
96.269997 , 3.78408 , 0.14026 , 0
90.589996 , 3.75698 , 0.13098 , 0
85.080002 , 3.73815 , 0.12247 , 0
79.510002 , 3.74568 , 0.11573 , 0
73.940002 , 3.76774 , 0.10978 , 0
69.070000 , 3.79282 , 0.10383 , 0
64.639999 , 3.80850 , 0.09721 , 0
59.759998 , 3.80743 , 0.08968 , 0
54.759998 , 3.79504 , 0.08167 , 0
49.939999 , 3.75415 , 0.07266 , 0
48.040001 , 3.73214 , 0.06894 , 0
46.230000 , 3.71111 , 0.06532 , 0
44.630001 , 3.69451 , 0.06192 , 0
43.180000 , 3.68450 , 0.05879 , 0
41.700001 , 3.67681 , 0.05576 , 0
40.080002 , 3.67699 , 0.05297 , 0
37.740002 , 3.68753 , 0.05047 , 0
34.810001 , 3.69130 , 0.04777 , 0
32.610001 , 3.69392 , 0.04502 , 0
30.600000 , 3.70594 , 0.04248 , 0
29.770000 , 3.71271 , 0.04122 , 0
28.700001 , 3.71755 , 0.03990 , 0
